Date_of_journey,Journey_day,Airline,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Fare
2023-01-28,Saturday,Air India,Economy,Delhi,After 6 PM,1-stop,After 6 PM,Ahmedabad,21.4167,9599
2023-03-05,Sunday,Vistara,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,9.1667,14355
2023-02-15,Wednesday,Vistara,Business,Kolkata,After 6 PM,1-stop,After 6 PM,Bangalore,22.4167,60996
2023-02-11,Saturday,Vistara,Economy,Kolkata,After 6 PM,2+-stop,12 PM - 6 PM,Delhi,18.0,15419
2023-02-20,Monday,Air India,Economy,Mumbai,6 AM - 12 PM,2+-stop,After 6 PM,Kolkata,8.5,11877
2023-01-16,Monday,Indigo,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,4.8333,9713
2023-02-19,Sunday,AirAsia,Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,7.5,6190
2023-01-26,Thursday,GO FIRST,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,12.5,8705
2023-02-05,Sunday,Vistara,Economy,Mumbai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Chennai,19.75,14448
2023-01-18,Wednesday,Vistara,Premium Economy,Mumbai,12 PM - 6 PM,2+-stop,After 6 PM,Hyderabad,10.5,14538
2023-02-02,Thursday,Vistara,Premium Economy,Hyderabad,After 6 PM,1-stop,6 AM - 12 PM,Chennai,11.3333,10513
2023-01-20,Friday,GO FIRST,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,13.5,14511
2023-02-23,Thursday,Vistara,Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,8.4167,9489
2023-02-27,Monday,Vistara,Economy,Ahmedabad,12 PM - 6 PM,1-stop,6 AM - 12 PM,Chennai,18.5833,4800
2023-01-23,Monday,Indigo,Economy,Delhi,Before 6 AM,1-stop,12 PM - 6 PM,Chennai,6.8333,10186
2023-02-17,Friday,Indigo,Economy,Mumbai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Bangalore,4.4167,7151
2023-02-02,Thursday,Indigo,Economy,Chennai,After 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,7.4167,7058
2023-02-01,Wednesday,Air India,Economy,Bangalore,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,8.1667,11328
2023-01-27,Friday,Air India,Business,Bangalore,After 6 PM,1-stop,After 6 PM,Delhi,23.4167,65721
2023-01-26,Thursday,Vistara,Business,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Ahmedabad,20.0,33881
2023-03-06,Monday,Vistara,Economy,Kolkata,12 PM - 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,16.75,8480
2023-01-31,Tuesday,Air India,Business,Ahmedabad,After 6 PM,1-stop,6 AM - 12 PM,Hyderabad,11.8333,50244
2023-03-04,Saturday,Vistara,Economy,Kolkata,6 AM - 12 PM,2+-stop,After 6 PM,Mumbai,11.9167,13700
2023-03-02,Thursday,Vistara,Premium Economy,Chennai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,22.0833,16494
2023-02-26,Sunday,Vistara,Premium Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,5.5833,17862
2023-02-23,Thursday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,23.5,6358
2023-03-06,Monday,Air India,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Chennai,11.25,8895
2023-01-18,Wednesday,Indigo,Economy,Hyderabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Chennai,5.1667,15938
2023-02-13,Monday,Indigo,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Chennai,7.75,4493
2023-01-18,Wednesday,Vistara,Economy,Hyderabad,12 PM - 6 PM,1-stop,6 AM - 12 PM,Delhi,16.1667,11618
2023-01-28,Saturday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,6.5,12900
2023-02-21,Tuesday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,Before 6 AM,Delhi,5.0833,10875
2023-01-20,Friday,Vistara,Economy,Chennai,6 AM - 12 PM,2+-stop,After 6 PM,Mumbai,12.8333,16333
2023-02-01,Wednesday,GO FIRST,Economy,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,14.1667,6816
2023-02-25,Saturday,Air India,Economy,Bangalore,Before 6 AM,1-stop,After 6 PM,Kolkata,13.25,12390
2023-02-14,Tuesday,Vistara,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,6.0833,11508
2023-02-09,Thursday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,13.25,14447
2023-02-12,Sunday,Vistara,Economy,Kolkata,After 6 PM,2+-stop,12 PM - 6 PM,Delhi,15.75,15593
